trail ID,method,parameters,metrics,performance
40,mlp,_scale = True; activation = relu; alpha = 0.00671090557438; batch_size = auto; hidden_layer_sizes[0] = 169; hidden_layer_sizes[1] = 245; learning_rate = invscaling; learning_rate_init = 0.320680427153; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.712 +- 0.428
41,mlp,_scale = True; activation = relu; alpha = 0.00166052683936; batch_size = auto; hidden_layer_sizes[0] = 57; hidden_layer_sizes[1] = 21; learning_rate = invscaling; learning_rate_init = 0.3787697594; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.715 +- 0.249
42,mlp,_scale = True; activation = identity; alpha = 0.00127587777598; batch_size = auto; hidden_layer_sizes[0] = 55; hidden_layer_sizes[1] = 261; hidden_layer_sizes[2] = 15; learning_rate = invscaling; learning_rate_init = 0.979302563433; len(hidden_layer_sizes) = 3; solver = sgd,f1 and cv,0.379 +- 0.414
43,mlp,_scale = True; activation = identity; alpha = 0.00836452785254; batch_size = auto; hidden_layer_sizes[0] = 10; hidden_layer_sizes[1] = 294; hidden_layer_sizes[2] = 24; learning_rate = invscaling; learning_rate_init = 0.0867527859754; len(hidden_layer_sizes) = 3; solver = sgd,f1 and cv,0.683 +- 0.395
44,mlp,_scale = True; activation = tanh; alpha = 0.00566483744806; batch_size = auto; beta_1 = 0.941060527496; beta_2 = 0.886333999219; hidden_layer_sizes[0] = 179; hidden_layer_sizes[1] = 163; learning_rate_init = 0.104313563407; len(hidden_layer_sizes) = 2; solver = adam,f1 and cv,0.737 +- 0.128
45,mlp,_scale = True; activation = tanh; alpha = 0.0014836698397; batch_size = auto; beta_1 = 0.866515711814; beta_2 = 0.963674603878; hidden_layer_sizes[0] = 162; hidden_layer_sizes[1] = 229; learning_rate_init = 0.239838223712; len(hidden_layer_sizes) = 2; solver = adam,f1 and cv,0.548 +- 0.255
46,logreg,C = 99.9229727841; _scale = True; class_weight = balanced; dual = False; fit_intercept = False; penalty = l2; tol = 244.185565265,f1 and cv,0.000 +- 0.000
47,mlp,_scale = True; activation = tanh; alpha = 0.00393734628798; batch_size = auto; hidden_layer_sizes[0] = 218; len(hidden_layer_sizes) = 1; solver = lbfgs,f1 and cv,0.597 +- 0.255
48,mlp,_scale = True; activation = tanh; alpha = 0.00466952886902; batch_size = auto; hidden_layer_sizes[0] = 119; len(hidden_layer_sizes) = 1; solver = lbfgs,f1 and cv,0.740 +- 0.502
49,mlp,_scale = True; activation = relu; alpha = 0.00369484939849; batch_size = auto; hidden_layer_sizes[0] = 172; hidden_layer_sizes[1] = 5; hidden_layer_sizes[2] = 117; len(hidden_layer_sizes) = 3; solver = lbfgs,f1 and cv,0.760 +- 0.292
50,mlp,_scale = True; activation = relu; alpha = 0.00148965686068; batch_size = auto; hidden_layer_sizes[0] = 228; hidden_layer_sizes[1] = 258; hidden_layer_sizes[2] = 128; len(hidden_layer_sizes) = 3; solver = lbfgs,f1 and cv,0.718 +- 0.239
51,mlp,_scale = True; activation = tanh; alpha = 0.00463285433881; batch_size = auto; hidden_layer_sizes[0] = 17; hidden_layer_sizes[1] = 60; learning_rate = invscaling; learning_rate_init = 0.677560559236; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.713 +- 0.142
52,mlp,_scale = True; activation = tanh; alpha = 0.00798742244388; batch_size = auto; hidden_layer_sizes[0] = 200; hidden_layer_sizes[1] = 130; learning_rate = invscaling; learning_rate_init = 0.980172261286; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.796 +- 0.289
53,mlp,_scale = True; activation = identity; alpha = 0.00561226799357; batch_size = auto; hidden_layer_sizes[0] = 36; hidden_layer_sizes[1] = 113; hidden_layer_sizes[2] = 51; learning_rate = constant; learning_rate_init = 0.359050106477; len(hidden_layer_sizes) = 3; solver = sgd,f1 and cv,0.704 +- 0.227
54,mlp,_scale = True; activation = identity; alpha = 0.00522574484514; batch_size = auto; hidden_layer_sizes[0] = 32; hidden_layer_sizes[1] = 232; hidden_layer_sizes[2] = 184; learning_rate = constant; learning_rate_init = 0.390107009433; len(hidden_layer_sizes) = 3; solver = sgd,f1 and cv,0.371 +- 0.732
55,knn,_scale = True; algorithm = kd_tree; leaf_size = 42; metric = minkowski; n_neighbors = 9; p = 2; weights = distance,f1 and cv,0.601 +- 0.126
56,knn,_scale = True; algorithm = kd_tree; leaf_size = 49; metric = minkowski; n_neighbors = 10; p = 2; weights = distance,f1 and cv,0.755 +- 0.339
57,mlp,_scale = True; activation = logistic; alpha = 0.00493108097032; batch_size = auto; hidden_layer_sizes[0] = 67; hidden_layer_sizes[1] = 135; learning_rate = invscaling; learning_rate_init = 0.0413872867992; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.707 +- 0.042
58,mlp,_scale = True; activation = logistic; alpha = 0.00749174273334; batch_size = auto; hidden_layer_sizes[0] = 244; hidden_layer_sizes[1] = 44; learning_rate = invscaling; learning_rate_init = 0.0678221650796; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.400 +- 0.653
59,knn,_scale = True; algorithm = brute; metric = chebyshev; n_neighbors = 4; weights = distance,f1 and cv,0.728 +- 0.421
60,knn,_scale = True; algorithm = brute; metric = chebyshev; n_neighbors = 10; weights = distance,f1 and cv,0.630 +- 0.485
61,svm,C = 108.321856002; _scale = True; cache_size = 15000; class_weight = balanced; kernel = linear; max_iter = 50000; probability = True; shrinking = True,f1 and cv,0.676 +- 0.306
62,svm,C = 0.22058306113; _scale = True; cache_size = 15000; class_weight = balanced; kernel = linear; max_iter = 50000; probability = True; shrinking = True,f1 and cv,0.522 +- 0.548
63,logreg,C = 402.075650797; _scale = True; class_weight = balanced; dual = False; fit_intercept = False; penalty = l2; tol = 422.081243442,f1 and cv,0.000 +- 0.000
64,mlp,_scale = True; activation = relu; alpha = 0.00447154493894; batch_size = auto; hidden_layer_sizes[0] = 133; hidden_layer_sizes[1] = 227; hidden_layer_sizes[2] = 48; learning_rate = adaptive; learning_rate_init = 0.435971730209; len(hidden_layer_sizes) = 3; solver = sgd,f1 and cv,0.665 +- 0.459
65,mlp,_scale = True; activation = relu; alpha = 0.00877916277485; batch_size = auto; hidden_layer_sizes[0] = 150; hidden_layer_sizes[1] = 37; hidden_layer_sizes[2] = 274; learning_rate = adaptive; learning_rate_init = 0.0572993617058; len(hidden_layer_sizes) = 3; solver = sgd,f1 and cv,0.672 +- 0.466
66,rf,criterion = entropy; max_depth = 5; max_features = 0.556456563127; min_samples_leaf = 2; n_estimators = 100; n_jobs = -1,f1 and cv,0.669 +- 0.443
67,rf,criterion = entropy; max_depth = 2; max_features = 0.98545646594; min_samples_leaf = 2; n_estimators = 100; n_jobs = -1,f1 and cv,0.726 +- 0.415
68,dt,criterion = entropy; max_depth = 5; max_features = 0.900550608963; min_samples_leaf = 1; min_samples_split = 3,f1 and cv,0.640 +- 0.491
69,dt,criterion = entropy; max_depth = 10; max_features = 0.910163275881; min_samples_leaf = 1; min_samples_split = 2,f1 and cv,0.632 +- 0.387
70,mlp,_scale = True; activation = identity; alpha = 0.00682078560952; batch_size = auto; beta_1 = 0.969193004536; beta_2 = 0.958225007994; hidden_layer_sizes[0] = 93; learning_rate_init = 0.913931202199; len(hidden_layer_sizes) = 1; solver = adam,f1 and cv,0.868 +- 0.177
71,mlp,_scale = True; activation = identity; alpha = 0.00645779541489; batch_size = auto; beta_1 = 0.913476793807; beta_2 = 0.949688737801; hidden_layer_sizes[0] = 102; learning_rate_init = 0.133057916229; len(hidden_layer_sizes) = 1; solver = adam,f1 and cv,0.680 +- 0.422
72,gp,kernel = rbf,f1 and cv,0.000 +- 0.000
73,mlp,_scale = True; activation = logistic; alpha = 0.00446415534919; batch_size = auto; hidden_layer_sizes[0] = 270; learning_rate = adaptive; learning_rate_init = 0.595166464296; len(hidden_layer_sizes) = 1; solver = sgd,f1 and cv,0.565 +- 0.566
74,mlp,_scale = True; activation = logistic; alpha = 0.00047361483565; batch_size = auto; hidden_layer_sizes[0] = 199; learning_rate = adaptive; learning_rate_init = 0.115392078419; len(hidden_layer_sizes) = 1; solver = sgd,f1 and cv,0.742 +- 0.323
75,mlp,_scale = True; activation = identity; alpha = 0.00334901377344; batch_size = auto; hidden_layer_sizes[0] = 191; hidden_layer_sizes[1] = 196; learning_rate = invscaling; learning_rate_init = 0.385631095821; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.695 +- 0.422
76,mlp,_scale = True; activation = identity; alpha = 0.000729809390053; batch_size = auto; hidden_layer_sizes[0] = 191; hidden_layer_sizes[1] = 9; learning_rate = invscaling; learning_rate_init = 0.376426628893; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.771 +- 0.272
77,mlp,_scale = True; activation = relu; alpha = 0.00677952040327; batch_size = auto; hidden_layer_sizes[0] = 78; hidden_layer_sizes[1] = 203; learning_rate = adaptive; learning_rate_init = 0.552285906706; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.705 +- 0.236
78,mlp,_scale = True; activation = relu; alpha = 0.00484606282802; batch_size = auto; hidden_layer_sizes[0] = 121; hidden_layer_sizes[1] = 32; learning_rate = adaptive; learning_rate_init = 0.525993295773; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.669 +- 0.394
79,knn,_scale = True; algorithm = kd_tree; leaf_size = 38; metric = minkowski; n_neighbors = 1; p = 2; weights = uniform,f1 and cv,0.624 +- 0.254
80,knn,_scale = True; algorithm = kd_tree; leaf_size = 36; metric = minkowski; n_neighbors = 6; p = 3; weights = uniform,f1 and cv,0.736 +- 0.408
81,knn,_scale = True; algorithm = brute; metric = manhattan; n_neighbors = 9; weights = distance,f1 and cv,0.710 +- 0.346
82,knn,_scale = True; algorithm = brute; metric = manhattan; n_neighbors = 20; weights = distance,f1 and cv,0.875 +- 0.077
83,mlp,_scale = True; activation = logistic; alpha = 0.00455678708933; batch_size = auto; hidden_layer_sizes[0] = 226; hidden_layer_sizes[1] = 289; len(hidden_layer_sizes) = 2; solver = lbfgs,f1 and cv,0.557 +- 0.301
84,mlp,_scale = True; activation = logistic; alpha = 0.00770313808357; batch_size = auto; hidden_layer_sizes[0] = 114; hidden_layer_sizes[1] = 131; len(hidden_layer_sizes) = 2; solver = lbfgs,f1 and cv,0.703 +- 0.434
85,gp,kernel = exp_sine_squared; length_scale = 88.5811912348; periodicity = 1,f1 and cv,0.000 +- 0.000
86,mlp,_scale = True; activation = identity; alpha = 0.00563614677265; batch_size = auto; hidden_layer_sizes[0] = 225; len(hidden_layer_sizes) = 1; solver = lbfgs,f1 and cv,0.638 +- 0.284
87,mlp,_scale = True; activation = identity; alpha = 0.00530367936218; batch_size = auto; hidden_layer_sizes[0] = 239; len(hidden_layer_sizes) = 1; solver = lbfgs,f1 and cv,0.772 +- 0.212
88,mlp,_scale = True; activation = logistic; alpha = 0.00135750262202; batch_size = auto; hidden_layer_sizes[0] = 201; hidden_layer_sizes[1] = 173; learning_rate = adaptive; learning_rate_init = 0.704545467478; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.267 +- 0.653
89,mlp,_scale = True; activation = logistic; alpha = 0.00781371196677; batch_size = auto; hidden_layer_sizes[0] = 226; hidden_layer_sizes[1] = 129; learning_rate = adaptive; learning_rate_init = 0.38252192812; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.543 +- 0.544
90,mlp,_scale = True; activation = tanh; alpha = 0.000225589838368; batch_size = auto; hidden_layer_sizes[0] = 70; learning_rate = invscaling; learning_rate_init = 0.24047934953; len(hidden_layer_sizes) = 1; solver = sgd,f1 and cv,0.796 +- 0.169
91,mlp,_scale = True; activation = tanh; alpha = 0.0014621770276; batch_size = auto; hidden_layer_sizes[0] = 278; learning_rate = invscaling; learning_rate_init = 0.526678709592; len(hidden_layer_sizes) = 1; solver = sgd,f1 and cv,0.849 +- 0.222
92,mlp,_scale = True; activation = logistic; alpha = 0.000395881669625; batch_size = auto; beta_1 = 0.977413026071; beta_2 = 0.824084664119; hidden_layer_sizes[0] = 160; hidden_layer_sizes[1] = 153; hidden_layer_sizes[2] = 63; learning_rate_init = 0.908710334663; len(hidden_layer_sizes) = 3; solver = adam,f1 and cv,0.543 +- 0.544
93,mlp,_scale = True; activation = logistic; alpha = 0.000926257945602; batch_size = auto; beta_1 = 0.909017076342; beta_2 = 0.904584995376; hidden_layer_sizes[0] = 208; hidden_layer_sizes[1] = 36; hidden_layer_sizes[2] = 2; learning_rate_init = 0.894332904907; len(hidden_layer_sizes) = 3; solver = adam,f1 and cv,0.279 +- 0.684
94,mlp,_scale = True; activation = tanh; alpha = 0.00752796608981; batch_size = auto; beta_1 = 0.843095206821; beta_2 = 0.954782682046; hidden_layer_sizes[0] = 43; hidden_layer_sizes[1] = 38; hidden_layer_sizes[2] = 272; learning_rate_init = 0.678536955782; len(hidden_layer_sizes) = 3; solver = adam,f1 and cv,0.654 +- 0.538
95,mlp,_scale = True; activation = tanh; alpha = 0.00104497384797; batch_size = auto; beta_1 = 0.946565507377; beta_2 = 0.809265708154; hidden_layer_sizes[0] = 39; hidden_layer_sizes[1] = 238; hidden_layer_sizes[2] = 134; learning_rate_init = 0.176380045981; len(hidden_layer_sizes) = 3; solver = adam,f1 and cv,0.759 +- 0.276
96,knn,_scale = True; algorithm = kd_tree; leaf_size = 35; metric = manhattan; n_neighbors = 7; weights = distance,f1 and cv,0.633 +- 0.311
97,knn,_scale = True; algorithm = kd_tree; leaf_size = 39; metric = manhattan; n_neighbors = 18; weights = distance,f1 and cv,0.895 +- 0.256
98,knn,_scale = True; algorithm = kd_tree; leaf_size = 4; metric = euclidean; n_neighbors = 19; weights = distance,f1 and cv,0.635 +- 0.676
99,knn,_scale = True; algorithm = kd_tree; leaf_size = 18; metric = euclidean; n_neighbors = 5; weights = distance,f1 and cv,0.599 +- 0.519
100,knn,_scale = True; algorithm = brute; metric = chebyshev; n_neighbors = 6; weights = uniform,f1 and cv,0.653 +- 0.272
101,knn,_scale = True; algorithm = brute; metric = chebyshev; n_neighbors = 5; weights = uniform,f1 and cv,0.763 +- 0.198
102,logreg,C = 4.97088705431e-05; _scale = True; class_weight = balanced; dual = True; fit_intercept = True; penalty = l2; tol = 222.17699589,f1 and cv,0.744 +- 0.266
103,logreg,C = 0.330721375771; _scale = True; class_weight = balanced; dual = True; fit_intercept = True; penalty = l2; tol = 0.0847406446969,f1 and cv,0.756 +- 0.218
104,mlp,_scale = True; activation = identity; alpha = 0.00388200759279; batch_size = auto; beta_1 = 0.803310010916; beta_2 = 0.847518868014; hidden_layer_sizes[0] = 3; hidden_layer_sizes[1] = 253; hidden_layer_sizes[2] = 240; learning_rate_init = 0.779752504983; len(hidden_layer_sizes) = 3; solver = adam,f1 and cv,0.665 +- 0.304
105,mlp,_scale = True; activation = identity; alpha = 0.00405917657162; batch_size = auto; beta_1 = 0.948791716906; beta_2 = 0.877991922699; hidden_layer_sizes[0] = 211; hidden_layer_sizes[1] = 268; hidden_layer_sizes[2] = 148; learning_rate_init = 0.206409734509; len(hidden_layer_sizes) = 3; solver = adam,f1 and cv,0.621 +- 0.646
106,mlp,_scale = True; activation = logistic; alpha = 0.00107775400387; batch_size = auto; hidden_layer_sizes[0] = 38; hidden_layer_sizes[1] = 260; hidden_layer_sizes[2] = 117; learning_rate = invscaling; learning_rate_init = 0.879719962022; len(hidden_layer_sizes) = 3; solver = sgd,f1 and cv,0.585 +- 0.586
107,mlp,_scale = True; activation = logistic; alpha = 0.00746351178429; batch_size = auto; hidden_layer_sizes[0] = 235; hidden_layer_sizes[1] = 209; hidden_layer_sizes[2] = 139; learning_rate = invscaling; learning_rate_init = 0.739358703115; len(hidden_layer_sizes) = 3; solver = sgd,f1 and cv,0.565 +- 0.566
108,mlp,_scale = True; activation = relu; alpha = 0.00755618547266; batch_size = auto; beta_1 = 0.818251038404; beta_2 = 0.804836838455; hidden_layer_sizes[0] = 156; hidden_layer_sizes[1] = 292; hidden_layer_sizes[2] = 229; learning_rate_init = 0.231899738619; len(hidden_layer_sizes) = 3; solver = adam,f1 and cv,0.499 +- 0.551
109,mlp,_scale = True; activation = relu; alpha = 0.000890173654937; batch_size = auto; beta_1 = 0.888752607999; beta_2 = 0.905503364471; hidden_layer_sizes[0] = 115; hidden_layer_sizes[1] = 116; hidden_layer_sizes[2] = 74; learning_rate_init = 0.496824150454; len(hidden_layer_sizes) = 3; solver = adam,f1 and cv,0.463 +- 0.593
110,mlp,_scale = True; activation = tanh; alpha = 0.00430648251732; batch_size = auto; hidden_layer_sizes[0] = 57; hidden_layer_sizes[1] = 200; hidden_layer_sizes[2] = 224; learning_rate = invscaling; learning_rate_init = 0.263792190615; len(hidden_layer_sizes) = 3; solver = sgd,f1 and cv,0.683 +- 0.377
111,mlp,_scale = True; activation = tanh; alpha = 0.00792514853509; batch_size = auto; hidden_layer_sizes[0] = 58; hidden_layer_sizes[1] = 298; hidden_layer_sizes[2] = 209; learning_rate = invscaling; learning_rate_init = 0.504780015822; len(hidden_layer_sizes) = 3; solver = sgd,f1 and cv,0.798 +- 0.417
112,mlp,_scale = True; activation = identity; alpha = 0.000574869927736; batch_size = auto; hidden_layer_sizes[0] = 58; hidden_layer_sizes[1] = 200; learning_rate = constant; learning_rate_init = 0.0847381122613; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.734 +- 0.139
113,mlp,_scale = True; activation = identity; alpha = 0.00748872282397; batch_size = auto; hidden_layer_sizes[0] = 243; hidden_layer_sizes[1] = 215; learning_rate = constant; learning_rate_init = 0.864295574622; len(hidden_layer_sizes) = 2; solver = sgd,f1 and cv,0.567 +- 0.265
114,gp,kernel = exp_sine_squared; length_scale = 1.23258725702; periodicity = 1,f1 and cv,0.534 +- 0.554
115,mlp,_scale = True; activation = identity; alpha = 0.00146328031265; batch_size = auto; hidden_layer_sizes[0] = 273; hidden_layer_sizes[1] = 261; hidden_layer_sizes[2] = 17; learning_rate = adaptive; learning_rate_init = 0.662340589203; len(hidden_layer_sizes) = 3; solver = sgd,f1 and cv,0.000 +- 0.000
116,mlp,_scale = True; activation = logistic; alpha = 0.00168729100821; batch_size = auto; beta_1 = 0.862405862008; beta_2 = 0.863444265573; hidden_layer_sizes[0] = 90; learning_rate_init = 0.921266595151; len(hidden_layer_sizes) = 1; solver = adam,f1 and cv,0.640 +- 0.676
117,mlp,_scale = True; activation = logistic; alpha = 0.00216221770935; batch_size = auto; beta_1 = 0.854074335995; beta_2 = 0.915921532413; hidden_layer_sizes[0] = 20; learning_rate_init = 0.734002657964; len(hidden_layer_sizes) = 1; solver = adam,f1 and cv,0.718 +- 0.209
118,mlp,_scale = True; activation = identity; alpha = 0.00520025456826; batch_size = auto; hidden_layer_sizes[0] = 165; hidden_layer_sizes[1] = 154; len(hidden_layer_sizes) = 2; solver = lbfgs,f1 and cv,0.716 +- 0.441
119,mlp,_scale = True; activation = identity; alpha = 0.00547849454578; batch_size = auto; hidden_layer_sizes[0] = 162; hidden_layer_sizes[1] = 291; len(hidden_layer_sizes) = 2; solver = lbfgs,f1 and cv,0.758 +- 0.409
